Bundle Title,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Sensai Absolute Silk Micro Mousse Wash 180 ml + Sensai Cellular Performance Lotion I (Light) 125 ml,99.99,3,3,299.98
"NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Kentia αδιάβροχο επίστρωμα  ""Cotton Cover"" 100 x 200 cm",44.89,0,0,0.0
"NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Kentia αδιάβροχη μαξιλαροθήκη βαμβακερή ""Cotton Cover"" 50 x 70 cm",27.24,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Armani My Way Eau de Parfum 90ml,108.4,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Kiko Milano Pure Clean Toner 200 ml,24.09,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,32.67,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Sensai Absolute Silk Micro Mousse Wash 180 ml,70.55,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Sensai Silky Purifying Sponge Chief,28.6,0,0,0.0
NEF-NEF αδιάβροχο προστατευτικό στρώματος μονό 100 x 200 + 30 cm Λευκό 100x200+30cm + Sensai Cellular Performance Lotion I (Light) 125 ml,65.14,0,0,0.0
"Guy Laroche αδιάβροχο προστατευτικό επίστρωμα 100 χ 200 cm + Kentia αδιάβροχο επίστρωμα  ""Cotton Cover"" 100 x 200 cm",54.24,0,0,0.0
